velocity_ms,lateral_accel_ms2,max_accel_ms2,max_brake_ms2
0,0,0,-17.1739
0,1,0,-17.1448
0,2,0,-17.0571
0,3,0,-16.9099
0,4,0,-16.7016
0,5,0,-16.4299
0,6,0,-16.0917
0,7,0,-15.6826
0,8,0,-15.1968
0,9,0,-14.6268
0,10,0,-13.9622
0,11,0,-13.1888
0,12,0,-12.2859
0,13,0,-11.2224
0,14,0,-9.94702
0,15,0,-8.3632
0,16,0,-6.24044
0,17,0,-2.43783
0,18,0,-5.99452e-06
0,19,0,-5.99452e-06
0,20,0,-5.99452e-06
0,21,0,-5.99452e-06
0,22,0,-5.99452e-06
0,23,0,-5.99452e-06
0,24,0,-5.99452e-06
0,25,0,-5.99452e-06
0,26,0,-5.99452e-06
0,27,0,-5.99452e-06
0,28,0,-5.99452e-06
0,29,0,-5.99452e-06
0,30,0,-5.99452e-06
0,31,0,-5.99452e-06
0,32,0,-5.99452e-06
0,33,0,-5.99452e-06
0,34,0,-5.99452e-06
0,35,0,-5.99452e-06
0,36,0,-5.99452e-06
0,37,0,-5.99452e-06
0,38,0,-5.99452e-06
0,39,0,-5.99452e-06
0,40,0,-5.99452e-06
0,41,0,-5.99452e-06
0,42,0,-5.99452e-06
0,43,0,-5.99452e-06
0,44,0,-5.99452e-06
0,45,0,-5.99452e-06
0,46,0,-5.99452e-06
0,47,0,-5.99452e-06
0,48,0,-5.99452e-06
0,49,0,-5.99452e-06
0,50,0,-5.99452e-06
0.5,0,0,-17.1746
0.5,1,0,-17.1455
0.5,2,0,-17.0578
0.5,3,0,-16.9106
0.5,4,0,-16.7023
0.5,5,0,-16.4307
0.5,6,0,-16.0924
0.5,7,0,-15.6833
0.5,8,0,-15.1976
0.5,9,0,-14.6276
0.5,10,0,-13.963
0.5,11,0,-13.1896
0.5,12,0,-12.2868
0.5,13,0,-11.2234
0.5,14,0,-9.94811
0.5,15,0,-8.36447
0.5,16,0,-6.24209
0.5,17,0,-2.44184
0.5,18,0,-0.000149863
0.5,19,0,-0.000149863
0.5,20,0,-0.000149863
0.5,21,0,-0.000149863
0.5,22,0,-0.000149863
0.5,23,0,-0.000149863
0.5,24,0,-0.000149863
0.5,25,0,-0.000149863
0.5,26,0,-0.000149863
0.5,27,0,-0.000149863
0.5,28,0,-0.000149863
0.5,29,0,-0.000149863
0.5,30,0,-0.000149863
0.5,31,0,-0.000149863
0.5,32,0,-0.000149863
0.5,33,0,-0.000149863
0.5,34,0,-0.000149863
0.5,35,0,-0.000149863
0.5,36,0,-0.000149863
0.5,37,0,-0.000149863
0.5,38,0,-0.000149863
0.5,39,0,-0.000149863
0.5,40,0,-0.000149863
0.5,41,0,-0.000149863
0.5,42,0,-0.000149863
0.5,43,0,-0.000149863
0.5,44,0,-0.000149863
0.5,45,0,-0.000149863
0.5,46,0,-0.000149863
0.5,47,0,-0.000149863
0.5,48,0,-0.000149863
0.5,49,0,-0.000149863
0.5,50,0,-0.000149863
1,0,0,-17.1768
1,1,0,-17.1476
1,2,0,-17.0599
1,3,0,-16.9128
1,4,0,-16.7045
1,5,0,-16.4329
1,6,0,-16.0947
1,7,0,-15.6857
1,8,0,-15.2
1,9,0,-14.6301
1,10,0,-13.9656
1,11,0,-13.1923
1,12,0,-12.2897
1,13,0,-11.2265
1,14,0,-9.95152
1,15,0,-8.36845
1,16,0,-6.24727
1,17,0,-2.45434
1,18,0,-0.000599452
1,19,0,-0.000599452
1,20,0,-0.000599452
1,21,0,-0.000599452
1,22,0,-0.000599452
1,23,0,-0.000599452
1,24,0,-0.000599452
1,25,0,-0.000599452
1,26,0,-0.000599452
1,27,0,-0.000599452
1,28,0,-0.000599452
1,29,0,-0.000599452
1,30,0,-0.000599452
1,31,0,-0.000599452
1,32,0,-0.000599452
1,33,0,-0.000599452
1,34,0,-0.000599452
